C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\test\test_thermo_total_static_tabulated.py:TestStaticTabular.test_statics ... OK (00:00:0.17, 0 MB)


OK

Passed:  67
Failed:  0
Skipped: 0


Ran 67 tests using 1 processes
Wall clock time:   00:01:39.49

